#OTU ID	sample_name	abundance
571	178.12265949788878	0.6363409
32275	178.1587837793172	4.8746204
25556	179.06358915371462	4.316653
223	179.073700863655	0.6038029
4027	179.0911760127594	1.9232024
5210	179.09120233998095	2.179511
89994	179.09250372615276	12.185167
90616	179.09253388238434	12.453642
88998	179.0925197353096	11.884085
87812	179.0925344012	11.473497
86483	179.09256310440523	11.17299
91582	179.09258146348603	12.764362
70206	179.10644809229157	9.217778
32581	179.10646130475487	4.8505726
58350	179.10647710705334	7.5209713
9793	179.12733890834008	2.919643
71604	179.1428283231364	9.383025
76712	179.14283210073822	9.94786
92429	179.98530657794424	13.091195
2132	180.08784127249848	0.9911617
6012	180.1016739700623	2.3239248
10622	180.10169431054175	2.999531
21168	180.1016993176772	3.935307
2981	180.10170373262315	1.3941802
2474	180.10171724646332	1.1189543
1928	180.101797311871	0.886157
297	180.101922591773	0.62978756
54684	180.13807139650447	7.0592976
65907	180.1381612355764	8.5488405
27712	180.159180421889	4.5011926
31427	180.159225124649	4.8059344
56414	180.17449685724054	7.285938
1147	180.89442827087004	0.6988751
92435	180.98960983935882	13.102054
91355	181.01406279076684	12.735116
92163	181.01425543308517	13.086814
90506	181.0141088202267	12.455543
6985	181.07178796098825	2.4654484
30048	181.08572051627922	4.685315
67266	181.08574174770064	8.756918
70903	181.12207011405462	9.296383
36133	181.1220729291772	5.2043467
41365	181.12208532757228	5.6514277
61958	181.1220911257323	7.984389
44327	181.12209276673804	5.9090405
60137	181.12210228315914	7.746286
20639	181.12210376706014	3.890049
53070	181.12212487822637	6.859471
77866	181.15839733635946	10.070618
75665	181.15842769565623	9.857172
92530	181.97754838231242	13.153827
92579	181.98802987224536	13.374914
92418	181.98808397716303	13.08903
1544	182.02889378023062	0.7541625
180	182.0329620660792	0.67531025
1931	182.08113456366024	0.91650933
1690	182.10224535446758	0.8564601
29357	182.11737248220732	4.6328273
12302	182.11738928479616	3.0968606
53111	182.11741439342066	6.8642883
3594	182.1384635817758	1.7584704
4686	182.1385040587226	2.077048
56215	182.15386036551556	7.2501554
28862	182.19017333832363	4.6930346
148	182.96200730207164	0.55184543
84129	182.9849280060729	10.781271
74055	182.98493664521467	9.659331
92557	182.98496767534778	13.10682
92608	182.98495983798833	13.836887
92617	182.98496010068277	14.034355
92598	182.98496040921088	13.545586
92636	182.98496887756247	14.570657
24	182.9849902038466	0.5058945
1523	182.9850847141548	0.7731351
92406	183.00966216462848	13.086802
36970	183.07782444158946	5.28407
6670	183.09892277377742	2.4297056
13811	183.10139761419362	3.1106029
24005	183.10139714967593	4.286746
20517	183.10138699804466	3.8760817
16474	183.10139127340327	3.5101876
34135	183.10139391785663	5.0381374
28165	183.10139997827406	4.5279365
30738	183.101405019111	4.742688
7877	183.12005791929073	2.5934095
42470	183.1490048397564	5.727717
3773	184.06018985602503	1.8446563
3300	184.06020519069887	1.5820668
4712	184.06024464931346	2.2629635
20437	184.09664041935346	3.9346955
23412	184.13300765817274	4.1282
3092	184.1330623042423	1.4347736
2365	184.13308000788442	1.1222678
1038	184.89940260741827	0.6766122
92141	184.9853494818394	13.08778
89763	184.98524125267554	12.067972
91388	184.98527429095344	12.56383
90266	184.98525489810564	12.382569
92610	184.98531322662245	13.892105
27	184.98534148453206	0.53424954
1562	184.9853666959205	0.80368614
92565	184.9853789567552	13.342328
92542	185.02313534557305	13.16985
12240	185.08067702437302	3.0901449
31116	185.11437017962194	4.7708607
24232	185.1170049232639	4.1973343
61406	185.13232343730925	7.9124746
59841	185.1534343904979	7.505656
92561	185.98325886784136	13.28759
9454	186.09481380872606	2.7780833
20575	186.11236623528947	3.9191267
42197	186.14865210229584	5.720608
61302	186.159797409505	7.9096594
40023	186.15989048815248	5.537763
48510	186.22153149352954	6.355541
92587	186.95601837345757	13.510521
91467	186.980593079319	12.670936
90833	186.9806640840343	12.460042
92404	186.98075113298523	13.08653
92574	186.98077074251	13.371604
1720	187.05762250785625	0.84842056
463	187.05773284058023	0.6327164
